Commercial_Banks,Development_Bank_Limited,Finance,Hotels_And_Tourism,Hydro_Power,Investment,Life_Insurance,Manufacturing_And_Processing,Microfinance,Mutual_Fund,Non-Life_Insurance,Others,Promotor_Share,Tradings
SCB,,,,DORDI,,,,JSLBB,NIBLSF,,,GBIMEP,
,,,,EHPL,,,,KLBSL,NIBLSTF,,,GBLBSP,
,,,,GHL,,,,KMCDB,NIBSF2,,,GFCLPO,
,,,,GLH,,,,LLBS,NICBF,,,GILBPO,
,,,,GVL,,,,MATRI,NICFC,,,GLICLP,
,,,,HDHPC,,,,MERO,NICGF2,,,GMFBSP,
,,,,HHL,,,,MLBBL,NICSF,,,GMFILP,
,,,,HPPL,,,,MLBS,NMB50,,,GRDBLP,
,,,,HURJA,,,,MLBSL,NMBSBFE,,,GUFLPO,
,,,,IHL,,,,MMFDB,NSIF2,,,HBLPO,
,,,,JOSHI,,,,MSLB,PRSF,,,HEIP,
,,,,KBSH,,,,NADEP,PSF,,,HIDCLP,
,,,,KKHC,,,,NESDO,RMF1,,,HLBSLP,
,,,,KPCL,,,,NICLBSL,RMF2,,,HLIPO,
,,,,LEC,,,,NLBBL,SAEF,,,HRLP,
,,,,MAKAR,,,,NMBMF,SAGF,,,ICFCPO,
,,,,MANDU,,,,NMFBS,SBCF,,,IGIPO,
,,,,MBJC,,,,NMLBBL,SEF,,,ILBSP,
,,,,MCHL,,,,NSLB,SFEF,,,JBBLPO,
,,,,MEHL,,,,NUBL,SFMF,,,JBLBP,
,,,,MEL,,,,RSDC,SIGS2,,,JFLPO,
,,,,MEN,,,,RULB,SIGS3,,,JSLBBP,
,,,,MHCL,,,,SAMAJ,SLCF,,,KBLPO,
,,,,MHL,,,,SHLB,SLK,,,KLBSLP,
,,,,MHNL,,,,SKBBL,SSIS,,,KMCDBP,
,,,,MKHC,,,,SLBBL,,,,KPCLPO,
,,,,MKHL,,,,SLBSL,,,,KRBLPO,
,,,,MKJC,,,,SMATA,,,,KSBBLP,
,,,,MMKJL,,,,SMB,,,,LBBLPO,
,,,,MSHL,,,,SMFBS,,,,LBLPO,
,,,,NGPL,,,,SMFDB,,,,LICNPO,
,,,,NHDL,,,,SMPDA,,,,LLBSPO,
,,,,NHPC,,,,SWBBL,,,,LSLPO,
,,,,NYADI,,,,SWMF,,,,MBLPO,
,,,,PHCL,,,,ULBSL,,,,MDBPO,
,,,,PMHPL,,,,UNLB,,,,MEROPO,
,,,,PPCL,,,,USLB,,,,MFILPO,
,,,,PPL,,,,VLBS,,,,MLBBLP,
,,,,RADHI,,,,WNLB,,,,MLBLPO,
,,,,RAWA,,,,,,,,MLBSLP,
,,,,RFPL,,,,,,,,MLBSP,
,,,,RHGCL,,,,,,,,MMFDBP,
,,,,RHPC,,,,,,,,MNBBLP,
,,,,RHPL,,,,,,,,MPFLPO,
,,,,RIDI,,,,,,,,MSLBP,
,,,,RURU,,,,,,,,NABBCP,
,,,,SAHAS,,,,,,,,NABILP,
,,,,SGHC,,,,,,,,NADEPP,
,,,,SHEL,,,,,,,,NESDOP,
,,,,SHPC,,,,,,,,NFSPO,
,,,,SIKLES,,,,,,,,NICAP,
,,,,SJCL,,,,,,,,NICLBSLP,
,,,,SMH,,,,,,,,NICLPO,
,,,,SMHL,,,,,,,,NIFRAP,
,,,,SMJC,,,,,,,,NILPO,
,,,,SPC,,,,,,,,NIMBPO,
,,,,SPDL,,,,,,,,NLBBLP,
,,,,SPHL,,,,,,,,NLGPO,
,,,,SPL,,,,,,,,NLICLP,
,,,,SSHL,,,,,,,,NMBMFP,
,,,,TAMOR,,,,,,,,NMBPO,
,,,,TPC,,,,,,,,NMFBSP,
,,,,TSHL,,,,,,,,NMLBBLP,
,,,,TVCL,,,,,,,,NUBLPO,
,,,,UHEWA,,,,,,,,PCBLP,
,,,,ULHC,,,,,,,,PFLPO,
,,,,UMHL,,,,,,,,PMLIP,
,,,,UMRH,,,,,,,,PRINPO,
,,,,UNHPL,,,,,,,,PROFLP,
,,,,UPCL,,,,,,,,PRVUPO,
,,,,UPPER,,,,,,,,RBCLPO,
,,,,USHEC,,,,,,,,RLFLPO,
,,,,USHL,,,,,,,,RNLIP,
,,,,VLUCL,,,,,,,,RSDCP,
,,,,,,,,,,,,SADBLP,
,,,,,,,,,,,,SALICOPO,
,,,,,,,,,,,,SAPDBLP,
,,,,,,,,,,,,SBIPO,
,,,,,,,,,,,,SBLPO,
,,,,,,,,,,,,SCBPO,
,,,,,,,,,,,,SFCLP,
,,,,,,,,,,,,SGICP,
,,,,,,,,,,,,SHINEP,
,,,,,,,,,,,,SICLPO,
,,,,,,,,,,,,SIFCPO,
,,,,,,,,,,,,SINDUP,
,,,,,,,,,,,,SKBBLP,
,,,,,,,,,,,,SLBBLP,
,,,,,,,,,,,,SLBSLPO,
,,,,,,,,,,,,SLICLP,
,,,,,,,,,,,,SMATAP,
,,,,,,,,,,,,SMBPO,
,,,,,,,,,,,,SMFBSP,
,,,,,,,,,,,,SMFDBP,
,,,,,,,,,,,,SMPDAP,
,,,,,,,,,,,,SNLIP,
,,,,,,,,,,,,SNMAPO,
,,,,,,,,,,,,SPILPO,
,,,,,,,,,,,,SRBLPO,
,,,,,,,,,,,,SRLIP,
,,,,,,,,,,,,SWBBLP,
,,,,,,,,,,,,SWMFPO,
,,,,,,,,,,,,TBBLP,
,,,,,,,,,,,,UAILPO,
,,,,,,,,,,,,UFLPO,
,,,,,,,,,,,,UNLBP,
,,,,,,,,,,,,USLBP,
,,,,,,,,,,,,VLBSPO,
,,,,,,,,,,,,WNLBP,
